127.0.0.1 - - [12/Jun/2023:18:03:01 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:07:26 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:08:02 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:08:04 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:08:04 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:08:04 +0900] "GET /img/logo.jpg HTTP/1.1" 200 16424
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:08:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:09:02 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:09:02 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:11:39 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:11:39 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:11:39 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:11:39 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:11:40 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:11:40 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:11:40 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:11:40 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:12:17 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:12:17 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:12:18 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:12:18 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:12:18 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:12:18 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:12:39 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:12:39 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:12:40 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:12:40 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:12:45 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:12:45 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:01 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:01 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:01 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:02 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:02 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:04 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:04 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:04 +0900] "GET /img/logo.jpg HTTP/1.1" 200 16424
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:20 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:20 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:20 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:29 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:29 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:30 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:30 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:30 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:30 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:30 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:30 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:38 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:38 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:39 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:39 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:39 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:39 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:39 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:39 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:41 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:41 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:41 +0900] "GET /img/logo.jpg HTTP/1.1" 200 16424
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:59 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:13:59 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 725
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:14:11 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:14:11 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:14:44 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:14:44 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:14:45 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:14:45 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:14:45 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:14:45 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:14:46 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:14:46 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:14:47 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:14:47 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:14:47 +0900] "GET /img/logo.jpg HTTP/1.1" 200 16424
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:14:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:16:10 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:16:10 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:16:10 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:16:10 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:16:11 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:16:11 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:16:11 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:16:11 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:16:11 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:16:11 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:16:14 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:16:14 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:16:14 +0900] "GET /img/logo.jpg HTTP/1.1" 200 16424
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:16:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:17:02 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:17:02 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:17:02 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:17:02 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:03 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:03 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:31 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:31 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:32 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:37 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:37 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:37 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:37 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:40 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:40 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:41 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:41 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:44 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:44 +0900] "GET /img/logo.jpg HTTP/1.1" 200 16424
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:44 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:53 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:53 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:53 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:53 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:56 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:56 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:56 +0900] "GET /img/logo.jpg HTTP/1.1" 200 16424
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:59 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:59 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:59 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:18:59 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:00 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:00 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:00 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:00 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:02 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:02 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:03 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:03 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:03 +0900] "GET /img/logo.jpg HTTP/1.1" 200 16424
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:08 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:08 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:08 +0900] "GET /img/logo.jpg HTTP/1.1" 200 16424
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:09 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:09 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:10 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:10 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:10 +0900] "GET /img/logo.jpg HTTP/1.1" 200 16424
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:13 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:13 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:30 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:30 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:30 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:30 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:32 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:32 +0900] "GET /ezenCrab/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2023:18:19:33 +0900] "GET /ezenCrab/index.jsp HTTP/1.1" 200 1005
